ID_ADMINISTRADO,COD_ADMINISTRADO,RAZON_SOCIAL,RAZON_SOCIAL_NORM,RUC,FECHA_ACTUALIZACION
106,NOM-MUNICIPALIDAD DISTRITAL DE SANTIAGO,MUNICIPALIDAD DISTRITAL DE SANTIAGO,MUNICIPALIDAD DISTRITAL DE SANTIAGO,,2026-09-04 16:34:18
107,NOM-MUNICIPALIDAD DISTRITAL DE LABERINTO,MUNICIPALIDAD DISTRITAL DE LABERINTO,MUNICIPALIDAD DISTRITAL DE LABERINTO,,2026-09-04 16:34:18
108,NOM-MUNICIPALIDAD DISTRITAL DE NVO CHIMBOTE,MUNICIPALIDAD DISTRITAL DE NVO CHIMBOTE,MUNICIPALIDAD DISTRITAL DE NVO CHIMBOTE,,2026-09-04 16:34:18
109,NOM-MUNICIPALIDAD DISTRITAL DE CHANCAY,MUNICIPALIDAD DISTRITAL DE CHANCAY,MUNICIPALIDAD DISTRITAL DE CHANCAY,,2026-09-04 16:34:18
110,NOM-MUNICIPALIDAD PROVINCIAL DE HUAYLAS,MUNICIPALIDAD PROVINCIAL DE HUAYLAS,MUNICIPALIDAD PROVINCIAL DE HUAYLAS,,2026-09-04 16:34:18
111,NOM-MUNICIPALIDAD PROVINCIAL DE HUAURA-HUACH,MUNICIPALIDAD PROVINCIAL DE HUAURA-HUACHO,MUNICIPALIDAD PROVINCIAL DE HUAURA-HUACHO,,2026-09-04 16:34:18
112,NOM-MINERA YANACOCHA S.R.L.,MINERA YANACOCHA S.R.L.,MINERA YANACOCHA S.R.L.,,2026-09-04 16:34:18
113,NOM-MUNICIPALIDAD PROVINCIAL DE TARATA,MUNICIPALIDAD PROVINCIAL DE TARATA,MUNICIPALIDAD PROVINCIAL DE TARATA,,2026-09-04 16:34:18
-1,ND,NO ESPECIFICADO,NO ESPECIFICADO,,2026-09-04 16:34:18
1,NOM-MUNICIPALIDAD DISTRITAL DE PARAMONGA,MUNICIPALIDAD DISTRITAL DE PARAMONGA,MUNICIPALIDAD DISTRITAL DE PARAMONGA,,2026-09-04 16:34:18
2,NOM-TRANS. SUPERTRUCK S.R.L.,TRANS. SUPERTRUCK S.R.L.,TRANS. SUPERTRUCK S.R.L.,,2026-09-04 16:34:18
3,NOM-SIERRA POLI S.A.C.,SIERRA POLI S.A.C.,SIERRA POLI S.A.C.,,2026-09-04 16:34:18
4,NOM-MUNICIPALIDAD PROVINCIAL DE BARRANCA,MUNICIPALIDAD PROVINCIAL DE BARRANCA,MUNICIPALIDAD PROVINCIAL DE BARRANCA,,2026-09-04 16:34:18
5,NOM-EMPRESA ADMINISTRADORA CERRO S.A.C.,EMPRESA ADMINISTRADORA CERRO S.A.C.,EMPRESA ADMINISTRADORA CERRO S.A.C.,,2026-09-04 16:34:18
6,NOM-ARUNTANI S.A.C.,ARUNTANI S.A.C.,ARUNTANI S.A.C.,,2026-09-04 16:34:18
7,NOM-MINISTERIO DE ENERGIA Y MINAS,MINISTERIO DE ENERGIA Y MINAS,MINISTERIO DE ENERGIA Y MINAS,,2026-09-04 16:34:18
8,NOM-PETROLEOS DEL PERU PETROPERU SA,PETROLEOS DEL PERU PETROPERU SA,PETROLEOS DEL PERU PETROPERU SA,,2026-09-04 16:34:18
9,NOM-MINERA CHINALCO PERU S.A.,MINERA CHINALCO PERÚ S.A.,MINERA CHINALCO PERU S.A.,,2026-09-04 16:34:18
10,NOM-MUNICIPALIDAD PROVINCIAL DE REQUENA,MUNICIPALIDAD PROVINCIAL DE REQUENA,MUNICIPALIDAD PROVINCIAL DE REQUENA,,2026-09-04 16:34:18
11,NOM-MUNICIPALIDAD DISTRITAL LA MATANZA,MUNICIPALIDAD DISTRITAL LA MATANZA,MUNICIPALIDAD DISTRITAL LA MATANZA,,2026-09-04 16:34:18
12,NOM-EMPRESA DE TRANSPORTE NACIONAL E INTERNA,EMPRESA DE TRANSPORTE NACIONAL E INTERNACIONAL ATB SRL,EMPRESA DE TRANSPORTE NACIONAL E INTERNACIONAL ATB SRL,,2026-09-04 16:34:18
13,NOM-EMP REG DE SERV PUBLICO DE ELECTRICIDAD,EMP REG DE SERV PUBLICO DE ELECTRICIDAD,EMP REG DE SERV PUBLICO DE ELECTRICIDAD,,2026-09-04 16:34:18
14,NOM-ERSA TRANSPORTES Y SERVICIOS SRL,ERSA TRANSPORTES Y SERVICIOS SRL,ERSA TRANSPORTES Y SERVICIOS SRL,,2026-09-04 16:34:18
15,NOM-COMPANIA MINERA SANTANDER SOCIEDAD ANONI,COMPAÑIA MINERA SANTANDER SOCIEDAD ANONIMA CERRADA,COMPANIA MINERA SANTANDER SOCIEDAD ANONIMA CERRADA,,2026-09-04 16:34:18
16,NOM-COMPANIA MINERA KOLPA S.A.,COMPAÑIA MINERA KOLPA S.A.,COMPANIA MINERA KOLPA S.A.,,2026-09-04 16:34:18
17,NOM-MUNICIPALIDAD PROVINCIAL DE PISCO,MUNICIPALIDAD PROVINCIAL DE PISCO,MUNICIPALIDAD PROVINCIAL DE PISCO,,2026-09-04 16:34:18
18,NOM-QUIMPAC S.A.,QUIMPAC S.A.,QUIMPAC S.A.,,2026-09-04 16:34:18
19,NOM-HORNOS ELECTRICOS PERUANOS S.A.,HORNOS ELECTRICOS PERUANOS S.A.,HORNOS ELECTRICOS PERUANOS S.A.,,2026-09-04 16:34:18
20,NOM-CORPORACION MINERA CENTAURO S.A.C.,CORPORACION MINERA CENTAURO S.A.C.,CORPORACION MINERA CENTAURO S.A.C.,,2026-09-04 16:34:18
21,NOM-MUNICIPALIDAD PROV. BELLAVISTA,MUNICIPALIDAD PROV. BELLAVISTA,MUNICIPALIDAD PROV. BELLAVISTA,,2026-09-04 16:34:18
22,NOM-MULTISERVICIOS PIRAMIDES DE ORO S.R.L.,MULTISERVICIOS PIRAMIDES DE ORO S.R.L.,MULTISERVICIOS PIRAMIDES DE ORO S.R.L.,,2026-09-04 16:34:18
23,NOM-ACTIVOS MINEROS S.A.C.,ACTIVOS MINEROS S.A.C.,ACTIVOS MINEROS S.A.C.,,2026-09-04 16:34:18
24,NOM-INTIGOLD MINING SOCIEDAD ANONIMA - INTIG,INTIGOLD MINING SOCIEDAD ANONIMA - INTIGOLD MINING S.A.,INTIGOLD MINING SOCIEDAD ANONIMA - INTIGOLD MINING S.A.,,2026-09-04 16:34:18
25,NOM-OPERADORES CONCENTRADOS PERUANOS S.A.C.,OPERADORES CONCENTRADOS PERUANOS S.A.C.,OPERADORES CONCENTRADOS PERUANOS S.A.C.,,2026-09-04 16:34:18
26,NOM-MUNICIPALIDAD DISTRITAL DE PUCALA,MUNICIPALIDAD DISTRITAL DE PUCALA,MUNICIPALIDAD DISTRITAL DE PUCALA,,2026-09-04 16:34:18
27,NOM-SOUTH AMERICA MINING INVESTMENTS S.A.C,SOUTH AMERICA MINING INVESTMENTS S.A.C,SOUTH AMERICA MINING INVESTMENTS S.A.C,,2026-09-04 16:34:18
28,NOM-COMBUSTIBLES DEL ORIENTE S.A.C,COMBUSTIBLES DEL ORIENTE S.A.C,COMBUSTIBLES DEL ORIENTE S.A.C,,2026-09-04 16:34:18
29,NOM-PLUSPETROL NORTE S.A.,PLUSPETROL NORTE S.A.,PLUSPETROL NORTE S.A.,,2026-09-04 16:34:18
30,NOM-MUNICIPALIDAD PROVINCIAL DEL SANTA,MUNICIPALIDAD PROVINCIAL DEL SANTA,MUNICIPALIDAD PROVINCIAL DEL SANTA,,2026-09-04 16:34:18
31,NOM-STATKRAFT PERU S.A.,STATKRAFT PERU S.A.,STATKRAFT PERU S.A.,,2026-09-04 16:34:18
32,NOM-MUNICIPALIDAD DISTRITAL DE ALEXANDER VON,MUNICIPALIDAD DISTRITAL DE ALEXANDER VON HUMBOLDT,MUNICIPALIDAD DISTRITAL DE ALEXANDER VON HUMBOLDT,,2026-09-04 16:34:18
33,NOM-RECUPERADA SOCIEDAD ANONIMA CERRADA - RE,RECUPERADA SOCIEDAD ANONIMA CERRADA - RECUPERADA S.A.C.,RECUPERADA SOCIEDAD ANONIMA CERRADA - RECUPERADA S.A.C.,,2026-09-04 16:34:18
34,NOM-MUNICIPALIDAD DISTRITAL DE NESHUYA,MUNICIPALIDAD DISTRITAL DE NESHUYA,MUNICIPALIDAD DISTRITAL DE NESHUYA,,2026-09-04 16:34:18
35,NOM-MUNICIPALIDAD DISTRITAL DE YUYAPICHIS,MUNICIPALIDAD DISTRITAL DE YUYAPICHIS,MUNICIPALIDAD DISTRITAL DE YUYAPICHIS,,2026-09-04 16:34:18
36,NOM-MAPLE GAS CORPORATION DEL PERU S.R.L. EN,MAPLE GAS CORPORATION DEL PERU S.R.L. EN LIQUIDACION,MAPLE GAS CORPORATION DEL PERU S.R.L. EN LIQUIDACION,,2026-09-04 16:34:18
