ID_ESTADO,TIPO_ESTADO,CODIGO,DESCRIPCION,GRUPO,FECHA_ACTUALIZACION
-1,NO ESPECIFICADO,ND,NO ESPECIFICADO,NO ESPECIFICADO,2026-09-04 16:34:18
1,RESOLUCION,ACTIVO,Resolución activa,VIGENTE,2026-09-04 16:34:18
2,RESOLUCION,INACTIVO,Resolución inactiva,CERRADO,2026-09-04 16:34:18
3,MULTA,ACTIVO,Multa activa,VIGENTE,2026-09-04 16:34:18
4,MULTA,INACTIVO,Multa inactiva,CERRADO,2026-09-04 16:34:18
5,MULTA,INCUMPLIDO,No pagada / incumplida,INCUMPLIDO,2026-09-04 16:34:18
6,PAGO,PAGADO,Multa pagada,CUMPLIDO,2026-09-04 16:34:18
7,PAGO,PENDIENTE,Pago pendiente,PENDIENTE,2026-09-04 16:34:18
8,PAGO,EJECUCION_FORZOSA,En ejecución forzosa,INCUMPLIDO,2026-09-04 16:34:18
9,ETAPA,TERMINADO,Etapa terminada,CUMPLIDO,2026-09-04 16:34:18
10,ETAPA,PENDIENTE,Etapa pendiente,PENDIENTE,2026-09-04 16:34:18
11,DESCARGOS,PRESENTO,Presentó descargos,CUMPLIDO,2026-09-04 16:34:18
12,DESCARGOS,NO_PRESENTO,No presentó descargos,INCUMPLIDO,2026-09-04 16:34:18
13,MULTA,EN_EJECUCIÓN,EN EJECUCIÓN,NO ESPECIFICADO,2026-09-04 16:34:18
14,MULTA,1.0,1.0,NO ESPECIFICADO,2026-09-04 16:34:18
15,PAGO,NO_PAGÓ_MULTA,NO PAGÓ MULTA,NO ESPECIFICADO,2026-09-04 16:34:18
16,PAGO,EN_PROCESO,EN PROCESO,NO ESPECIFICADO,2026-09-04 16:34:18
