ID_ORGANO,SIGLA,NOMBRE,TIPO,ORGANO_SUPERIOR,FECHA_ACTUALIZACION
-1,ND,NO ESPECIFICADO,NO ESPECIFICADO,,2026-09-04 16:34:18
1,00000012026,00000012026,NO ESPECIFICADO,,2026-09-04 16:34:18
2,00000112023,00000112023,NO ESPECIFICADO,,2026-09-04 16:34:18
3,00000152024,00000152024,NO ESPECIFICADO,,2026-09-04 16:34:18
4,00000202024,00000202024,NO ESPECIFICADO,,2026-09-04 16:34:18
5,00000202025,00000202025,NO ESPECIFICADO,,2026-09-04 16:34:18
6,00000332024,00000332024,NO ESPECIFICADO,,2026-09-04 16:34:18
7,00000852023,00000852023,NO ESPECIFICADO,,2026-09-04 16:34:18
8,00001012021,00001012021,NO ESPECIFICADO,,2026-09-04 16:34:18
9,00001222023,00001222023,NO ESPECIFICADO,,2026-09-04 16:34:18
10,00001502024,00001502024,NO ESPECIFICADO,,2026-09-04 16:34:18
11,00001682023,00001682023,NO ESPECIFICADO,,2026-09-04 16:34:18
12,00001802025,00001802025,NO ESPECIFICADO,,2026-09-04 16:34:18
13,00002182024,00002182024,NO ESPECIFICADO,,2026-09-04 16:34:18
14,00002232022,00002232022,NO ESPECIFICADO,,2026-09-04 16:34:18
15,00002332024,00002332024,NO ESPECIFICADO,,2026-09-04 16:34:18
16,00002372022,00002372022,NO ESPECIFICADO,,2026-09-04 16:34:18
17,CÓDIGO DE EXPEDIENTE INVÁLID,CÓDIGO DE EXPEDIENTE INVÁLIDO,NO ESPECIFICADO,,2026-09-04 16:34:18
18,DSAP-CAGR,DSAP-CAGR,COORDINACION,,2026-09-04 16:34:18
19,DSAP-CIND,DSAP-CIND,COORDINACION,,2026-09-04 16:34:18
20,DSEM-CELE,DSEM-CELE,COORDINACION,,2026-09-04 16:34:18
21,DSEM-CHID,DSEM-CHID,COORDINACION,,2026-09-04 16:34:18
22,DSEM-CMIN,DSEM-CMIN,COORDINACION,,2026-09-04 16:34:18
23,DSIS-CRES,DSIS-CRES,COORDINACION,,2026-09-04 16:34:18
24,ODES-CHI,ODES-CHI,OD,,2026-09-04 16:34:18
25,ODES-JUN,ODES-JUN,OD,,2026-09-04 16:34:18
26,ODES-LAM,ODES-LAM,OD,,2026-09-04 16:34:18
27,ODES-MOQ,ODES-MOQ,OD,,2026-09-04 16:34:18
28,ODES-SMA,ODES-SMA,OD,,2026-09-04 16:34:18
29,ODES-TUM,ODES-TUM,OD,,2026-09-04 16:34:18
30,ODES-UCA,ODES-UCA,OD,,2026-09-04 16:34:18
