ID_MC,COD_MA,COD_PROY_MC,NUMERO_EXPEDIENTE,EXP_RES_MC,N_RES_MC,CUM,CAM,NUMERO_REGISTRO_SIGED,ID_ADMINISTRADO,ID_ORGANO,ID_MATERIA,ID_ESTADO_RESOLUCION,ID_ESTADO_MULTA,ID_ESTADO_PAGO,ID_UIT,F_NOTIF_DCG,F_VENC_DCG,F_RPTA_ADM,F_INIC_ANALISIS,F_FIN_ANALISIS,F_FIRMA_RES_MC,F_NOTIF_RES_MC,F_VENC_MC,F_VERIF_POST_MC,F_PAGO,F_REMISION_MEMO,PRESENTO_DESCARGOS,AMERITA_MC,REQUIERE_VERIF_CAMPO,MEDIDA_ADMINISTRATIVA,MEMO_EF,SIGED,DOC_VERIF_MC,MONTO_UIT,VALOR_UIT_APLICADO,MONTO_S,MONTO_S_CALC,MONTO_MULTA_REC,MONTO_MULTA_TFA,DIAS_NOTIF_A_RESPUESTA,DIAS_ANALISIS,DIAS_NOTIF_A_FIRMA,DIAS_FIRMA_A_VENC,DIAS_VENC_A_PAGO,DIAS_RESOL_A_VERIF,FLAG_PRESENTO_DCG,FLAG_AMERITA_MC,FLAG_PAGADA,FLAG_EJECUCION_FORZOSA,FLAG_CUMPLIO_VERIF,FUENTE_REGISTRO,FECHA_CARGA
48,,,0209-2023-DSIS-CRES,,00004-2025-OEFA/DSIS,00000022512,20250300003,2025-I01-009335,1,23,-1,3,-1,-1,11,,,,,,2025-02-28 00:00:00,,,,,,,,,"Realizar la clausura de las zonas de ingreso del ADRS “Botadero Cerro La Horca”, a través de la colocación de diques de concreto y/o similares características en la zona de ingreso y transito interno",,,,2.0,5350.0,,10700.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
49,,,0213-2024-DSEM-CMIN,,00029-2025-OEFA/DSEM,00002362512,2025020000004,2025-I01-003866,-1,22,-1,4,-1,-1,11,,,,,,2025-01-27 00:00:00,,,,,,,,,"Identificar en campo el origen de la tubería ubicada en la coordenada UTM WGS 84 19K: 372029 E, 8168184 N.",,,,100.0,5350.0,,535000.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
50,,,0002-2023-DSIS-CRES,,00003-2025-OEFA/DSIS,00000012512,20250300001,2025-I01-009230,4,23,-1,3,-1,-1,11,,,,,,2025-02-28 00:00:00,,,,,,,,,"Realizar las acciones de esparcido, compactación y cobertura de los residuos sólidos en las coordenadas UTM zona 18L 8822515N 189242E, 8822517N 189238E, 8822415N 189184E, con una frecuencia mínima de tres (3) veces a la semana.",,,,2.0,5350.0,,10700.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
51,,,0021-2023-DSEM-CMIN,,00034-2025-OEFA/DSEM,00002332512,2025020000003,2025-I01-004234,5,22,-1,3,-1,-1,11,,,,,,2025-01-29 00:00:00,,,,,,,,,"Remediar el suelo por donde ha discurrido el flujo de agua ácida proveniente del rajo RP-219. Para la remediación se realizarán muestreos previos y posteriores a la medida, a fin de verificar su eficacia.",,,,32.0,5350.0,,171200.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
52,,,0021-2023-DSEM-CMIN,,00034-2025-OEFA/DSEM,00002342512,2025020000003,2025-I01-004234,5,22,-1,3,-1,-1,11,,,,,,2025-01-29 00:00:00,,,,,,,,,"Realizar la caracterización geoquímica de los rajos RP-213 y RP-219, así como del material de relleno utilizado para el cierre de los rajos antes descritos, con la finalidad de determinar el origen de la generación de aguas ácidas.",,,,14.0,5350.0,,74900.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
53,,,0021-2023-DSEM-CMIN,,00034-2025-OEFA/DSEM,00002352512,2025020000003,2025-I01-004234,-1,22,-1,3,-1,-1,11,,,,,,2025-01-29 00:00:00,,,,,,,,,"Remediar el suelo por donde ha discurrido el flujo de agua ácida proveniente del rajo RP-219. Para la remediación se realizarán muestreos previos y posteriores a la medida, a fin de verificar su eficacia.",,,,32.0,5350.0,,171200.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
54,,,0156-2022-DSEM-CMIN,,00096-2025-OEFA/DSEM,00003482512,20250400065,2025-I01-018669,6,22,-1,3,-1,-1,11,,,,,,2025-04-28 00:00:00,,,,,,,,,"Captar y tratar las descargas de agua de las pozas de subdrenajes N° 1 (SW-08) y N° 2 (SW-09) del pad de lixiviación Jessica, a fin de cumplir con los Estándares Nacionales de Calidad Ambiental para Agua establecidos en el Decreto Supremo N° 015-2015-MINAM y evitar que sigan alterando la calidad del agua superficiales y de las comunidades hidrobiológicas de la quebrada Lluchusani.",,,,76.0,5350.0,,406600.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
55,,,0148-2024-DSEM-CMIN,,00106-2025-OEFA/DSEM,00005032512,20250500016,2025-I01-020540,6,22,-1,3,-1,-1,11,,,,,,2025-05-09 00:00:00,,,,,,,,,"Captar el agua de contacto del depósito de desmonte ESP-ARI-1 y derivarla a la planta de tratamiento STAA Wetland Sur, a fin de que cumplan con los LMP previo a su descarga a la quebrada Apostoloni. La captación se deberá realizar de tal modo, que no exista agua de contacto ingresando hacia el canal de agua de no contacto de dicho componente, a fin de que no se afecte la quebrada Apostoloni, la flora y fauna cercanas, ni la salud de las personas",,,,12.0,5350.0,,64200.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
56,,,0197-2024-DSEM-CMIN,,00107-2025-OEFA/DSEM,00005092512,20250500017,2025-I01-020542,6,22,-1,3,-1,-1,11,,,,,,2025-05-09 00:00:00,,,,,,,,,Retirar la tubería desde su origen y captar el agua de contacto hacia la poza 90 000 para su respectivo tratamiento en el STAA Wetland Sur a fin de que dichas aguas cumplan con los LMP aprobado mediante el Decreto Supremo N° 010-2010-MINAM,,,,64.0,5350.0,,342400.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
57,,,0192-2023-DSEM-CMIN,,00097-2025-OEFA/DSEM,00004042512,20250400077,2025-I01-018937,7,22,-1,3,-1,-1,11,,,,,,2025-04-29 00:00:00,,,,,,,,,"Captar y tratar el efluente proveniente de la bocamina BOC-LN-LL-15 que descarga al suelo, de forma tal que éste no supere los Límites Máximos Permisibles establecidos en el Decreto Supremo Nº 010-2010-MINAM.",,,,100.0,5350.0,,535000.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
58,,,0185-2024-DSEM-CMIN,,00105-2025-OEFA/DSEM,00004402512,20250500008,2025-I01-020182,6,22,-1,3,-1,-1,11,,,,,,2025-05-08 00:00:00,,,,,,,,,"Retirar la tubería corrugada, ubicada en la coordenada UTM WGS 84 19: 372020 E, 8168172 N y captar el flujo de agua de contacto proveniente del depósito de desmonte y derivarla a la planta de tratamiento STAA Wetland Sur, a fin de que cumpla con los LMP.",,,,100.0,5350.0,,535000.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
59,,,0192-2023-DSEM-CMIN,,00097-2025-OEFA/DSEM,00004052512,20250400077,2025-I01-018937,7,22,-1,3,-1,-1,11,,,,,,2025-04-29 00:00:00,,,,,,,,,"Captar y tratar los efluentes provenientes del depósito de relaves RELAV-MO-LL-4, de forma tal que éstos no superen los Límites Máximos Permisibles establecidos en el Decreto Supremo Nº 010-2010-MINAM antes de ser descargado al rio Hualgayoc.",,,,100.0,5350.0,,535000.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
60,,,0155-2024-DSEM-CMIN,,00102-2025-OEFA/DSEM,00004382512,20250500007,2025-I01-019776,6,22,-1,3,-1,-1,11,,,,,,2025-05-06 00:00:00,,,,,,,,,"Captar el agua de contacto del depósito de desmonte INF-1, INF-2, INF-3, ESP-ARI-1 y ESP-ARI-11 y derivarla a la planta de tratamiento STAA Wetland Sur, a fin de que cumplan con los LMP. La captación se deberá realizar de tal modo, que ya no existan afloramientos hacia la quebrada S/N 2, ni flujos de agua de contacto hacia el canal de agua de no contacto de dicho componente.",,,,5.0,5350.0,,26750.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
61,,,0155-2024-DSEM-CMIN,,00102-2025-OEFA/DSEM,00004392512,20250500007,2025-I01-019776,6,22,-1,3,-1,-1,11,,,,,,2025-05-06 00:00:00,,,,,,,,,"Reparar el canal de agua de no contacto del depósito de desmonte zona norte, desde la coordenada UTM WGS 84 8168352 N; 372459 E, hasta UTM WGS 84 8168241 N; 372256 E (aproximadamente 234 m) de forma que no existan grietas que permitan el ingreso cualquier flujo de agua de contacto hacia dicho canal.",,,,3.0,5350.0,,16050.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
62,,,0340-2023-DSEM-CHID,,00095-2025-OEFA/DSEM,00003692512,20250400070,2025-I01-018655,8,21,-1,3,-1,-1,11,,,,,,2025-04-28 00:00:00,,,,,,,,,Realizar la limpieza total del área afectada por el derrame de petróleo crudo ocurrido el 28 de agosto de 2023 en el km 24+341 del tramo I del Oleoducto Norperuano.,,,,64.0,5350.0,,342400.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
63,,,0174-2024-DSEM-CMIN,,00100-2025-OEFA/DSEM,00004292512,20250500005,2025-I01-019556,6,22,-1,3,-1,-1,11,,,,,,2025-05-05 00:00:00,,,,,,,,,"Presentar ante la Autoridad Certificadora, la modificación de la Cuarta Modificación del Plan de Cierre de Minas de la unidad fiscalizable Florencia-Tucari, aprobada mediante Resolución Directoral N° 286-2016/MEM-DGAAM, a fin de que se incorporen aquellos componentes implementados o modificados con posterioridad a la emisión de la Resolución Directoral N° 166-2019-MINEM/DGM del 13 de septiembre de 2019, así como los cambios en el sistema de tratamiento y bombeo de lodos, y el cambio de la funcionalidad del tajo para la disposición de lodos provenientes del sistema de tratamiento de agua ácida del tajo.",,,,100.0,5350.0,,535000.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
64,,,0019-2022-DSEM-CMIN,,00109-2025-OEFA/DSEM,00005262512,20250500026,2025-I01-021212,9,22,-1,3,-1,-1,11,,,,,,2025-05-13 00:00:00,,,,,,,,,"Minera Chinalco Perú S.A. no ha cumplido con ejecutar el cierre, de la ampliación (áreas divergentes) de los componentes mineros que fueron aprobadas, en el Estudio de Impacto Ambiental del Proyecto de Explotación Toromocho, aprobado con Resolución Directoral N° 411-2010-MEM/AAM, denominados como Depósito de Mineral de Baja Ley Suroeste y Depósito de Mineral de Baja Ley, toda vez que: • No habría cumplido con ejecutar las actividades de Cierre del Área divergente 1 de acuerdo a lo aprobado en el ETC, respecto al ítem 1.3 Manejo de agua, en el extremo referido al ingreso de flujos de agua al sistema de drenaje de la operación, para ser conducidos de manera regulada hacia el túnel Kingsmill. • No habría cumplido con ejecutar las actividades de Cierre del Área divergente 2 de acuerdo a lo aprobado en el ETC, en el extremo referido a los ítems 1.2 Estabilización Física y 1.3 Manejo de agua, al no haber acreditado el retiro total del mineral de baja ley, ni haber acred",,,,4.0,5350.0,,21400.0,,,,,,,,,0,0,0,0,0,SISUD_VW,2026-09-04 16:34:16
