ID_RESULTADO,ID_CARGA,FECHA_CARGA,COD_INDICADOR,NOMBRE_INDICADOR,ANIO,ID_ORGANO,ID_MATERIA,METRICA,SUBGRANO,NUMERADOR,DENOMINADOR,VALOR,UNIDAD
140,20260904163415,2026-09-04 16:34:16,K4,Tasa de verificación post-multa,2026,26,-1,TASA_VERIF_POST_MC,,0.0,5.0,0.0,PORCENTAJE
141,20260904163415,2026-09-04 16:34:16,K4,Tasa de verificación post-multa,2026,29,-1,TASA_VERIF_POST_MC,,0.0,3.0,0.0,PORCENTAJE
142,20260904163415,2026-09-04 16:34:16,K4,Tasa de verificación post-multa,2026,30,-1,TASA_VERIF_POST_MC,,0.0,1.0,0.0,PORCENTAJE
143,20260904163415,2026-09-04 16:34:16,K4,Tasa de verificación post-multa,,-1,-1,TASA_VERIF_POST_MC,TOTAL,0.0,571.0,0.0,PORCENTAJE
144,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_CONFORME,GLOBAL_MULTAS,571.0,573.0,99.651,PORCENTAJE
145,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_CONFORME,R01_MULTAS,572.0,573.0,99.8255,PORCENTAJE
146,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_CONFORME,R02_MULTAS,573.0,573.0,100.0,PORCENTAJE
147,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_CONFORME,R03_MULTAS,573.0,573.0,100.0,PORCENTAJE
148,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_CONFORME,R04_MULTAS,573.0,573.0,100.0,PORCENTAJE
149,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_CONFORME,R05_MULTAS,573.0,573.0,100.0,PORCENTAJE
150,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_AMARRE,COD_MA_vs_EXPEDIENTE_excel,0.0,30.0,0.0,PORCENTAJE
151,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_AMARRE,COD_MA_vs_CUM_SISUD,0.0,30.0,0.0,PORCENTAJE
152,20260904163415,2026-09-04 16:34:16,K5,Calidad del dato,,-1,-1,PCT_AMARRE,CUM_SISUD_vs_GAPP,0.0,534.0,0.0,PORCENTAJE
1,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2022,-1,-1,N_MULTAS,,1.0,1.0,1.0,REGISTROS
2,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2022,23,-1,N_MULTAS,,35.0,35.0,35.0,REGISTROS
3,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2023,-1,-1,N_MULTAS,,3.0,3.0,3.0,REGISTROS
4,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2023,17,-1,N_MULTAS,,7.0,7.0,7.0,REGISTROS
5,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2023,23,-1,N_MULTAS,,49.0,49.0,49.0,REGISTROS
6,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2024,-1,-1,N_MULTAS,,1.0,1.0,1.0,REGISTROS
7,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2024,11,-1,N_MULTAS,,3.0,3.0,3.0,REGISTROS
8,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2024,23,-1,N_MULTAS,,133.0,133.0,133.0,REGISTROS
9,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2025,4,-1,N_MULTAS,,3.0,3.0,3.0,REGISTROS
10,20260904163415,2026-09-04 16:34:16,K1,Cobertura,2025,9,-1,N_MULTAS,,4.0,4.0,4.0,REGISTROS
